"id","username","full_name","date","caption","like_count","reply_count","repost_count","quote_count","hashtags","mentions","tag_name","url"
"3874761242607351150","rizkamaghfur","Rizka Maghfur","2026-04-14 07:45:56","Dari kmrin banyak tanya yg merah   Penasaran ya ?? Selama 6 bln pake stockbit  Ada 177an saham merah d porto saya Ada 3049an yg berhasil cuan   Maaf ya, saya itu posisinya masih belajar sama kayak kalian  Jgn ber ekspektasi saya master, suhu dll   Saya Sharing itu karena tahu belanjar sendiri d dunia saham ini mumet, kadang frustasi juga karena banyak2 istilah yg untuk orang bodoh kayak saya ini sulit d pahami  d tengah perjalanan saya belajar,  saya menemukan sedikit cara yg lebih mudah","271","332","20","0","","","saham Indonesia","https://threads.net/@rizkamaghfur/post/DXF6tIfD_Vu"
"3871285212723066183","happytrader.co","HappyTrader","2026-04-09 12:39:41","Clue sesi 2 :   Manusia berjalan menggunakan **** 😜","24","14","1","0","","","saham","https://threads.net/@happytrader.co/post/DW5kWPYlLVH"
"3816145003459291333","aryaarifin48","Arya Arifin","2026-01-23 10:45:56","GeS klo udah profit 20-30%  Baiknya kalian pasang TS ( Trailing Stop)   Kalau saya biasanya 5%","153","48","1","1","","","saham","https://threads.net/@aryaarifin48/post/DT1q6lukqjF"
"3877666047151512074","natamajulian","Natama Dad’s Manihuruk","2026-04-18 07:57:16","Mulai pulih setelah cut loss 80jt di maret 🫣","107","52","1","0","","","saham","https://threads.net/@natamajulian/post/DXQPLmiDxoK"
"3877738391027702807","eginanjar","Er Gin","2026-04-18 10:21:00","UTAS: TARGET PROFIT SAHAM HARUS BERAPA % PER TAHUN?  Suka banyak yang nanya: """"Kalau investasi saham, target profit ideal itu berapa % sih per tahun?""""  Jawaban saya nggak ada angka saklek. Semua balik ke kebutuhan masing-masing.  Kuuuyyy kita bahas ⬇️⬇️⬇️","11","10","0","0","","","saham","https://threads.net/@eginanjar/post/DXQfoWBGdwX"
"3863400413261710001","desstxz","D","2026-03-29 15:34:00","BESOK JUGA  GW BAKALAN KASIH BSJP LAGI  KALO POSTINGAN INI TEMBUS 100 LIKE ✅✅✅  DAN KALO MAU JOIN GRUP SAHAM LINK DI BIO YA👌🏻✅","104","1","1","0","","","","https://threads.net/@desstxz/post/DWdjjTpj8Kx"
"3875007505755658143","susanasrihandayani","SUSANA HANDAYANI","2026-04-14 15:55:13","Emiten swing  RATU entri di 6.735  RAJA ANTM ARCI INCO NCKL MINA TEBE GTSI - HUMI Saham2 pak PP BULL DEWA BUMI  Happy cuan hari ini 😇😇","117","38","1","0","","","","https://threads.net/@susanasrihandayani/post/DXGysu6idef"
"3877192281431316870","eginanjar","Er Gin","2026-04-17 16:15:59","Sesuai Screening aku di awal pekan, WMUU target cuma sampai 78 , kalau ada yg masuk setelah itu dan kena guyur aku nggak ikut2.  Ambilah profit secukupnya, jangan jadi tukang cuci piring, aku sering bilang, profit 5% itu udah lebih besar dari rate Deposito SETAHUN!!! jadikan itu persentase target profit awal kalian, kalau dikasih lebih Alhamdulillah, tapi jangan berlebihan, harus tau waktunya keluar!!!   Karena itulah aku bikin akun ini dan edukasi supaya trader pemula nggak FOMO dan asal masuk","64","37","3","0","","","saham","https://threads.net/@eginanjar/post/DXOjdZ0mZmG"
"3877632066971606173","agungpharm","Agung Prasetyo","2026-04-18 06:49:45","Selasa ARA ke 7xnya untuk WBSA. Alasan saya adalah  1. Total transaksi kemarin hanya 3x lipat dari hari sebelumnya, RLCO dan CDIA saat dapat UMA itu total transaksi 5x lipat dari hari sebelumnya yang berarti masih ritel yang jual, pemegang lot besar masih percaya harga ARA di hari selasa  2. Antrian BID masih linear nilai penurunan volumenya dengan kenaikan harga saham ARA  3. Di transaksi nego kemarin masih ada pembelian di dekat harga ARA 855 yang berarti harga bisa di ARA ke 8 yaitu 1.065","25","15","1","0","","","WBSA","https://threads.net/@agungpharm/post/DXQHdIBgZyd"
"3825909443774713904","nabung.dividen","Nabung Dividen","2026-02-05 22:06:08","Melihat postingan teman2 yang cut loss dan bilang berhenti investasi di saham saya ikut sedih.  Itulah kenapa saya open portofolio dividend investing tanpa sensor. Kenapa saya sharing mengenai dividend investing. Untuk menghindari jatuh """"korban"""" seperti itu.  Saya sering mengajak cek fundamental. Cek bisnisnya. Cek keuangannya. Ayo diversifikasi. Lakukan dollar cost averaging.  Ayo perbaiki mindsetnya. Fokus pada investasi jangka panjang. Dan yang terpenting: sabar.","222","54","4","1","","","investasi","https://threads.net/@nabung.dividen/post/DUYXF5bARAw"
"3875558101203030511","happytrader.co","HappyTrader","2026-04-15 10:09:09","Kemaren sudah saya kasih kisi-kisi saham yang kata si paling ngerti saham scam,  ZATA 🔥  Pada ikutan ga ? +20% hari ini 🚀","156","48","3","0","","","","https://threads.net/@happytrader.co/post/DXIv484mBHv"
"3877788193924173961","saham_diskon","Aji Pamungkas","2026-04-18 11:59:57","UVCR diskon 🙂 BBRI diskon 🙂 CFIN diskon 🙂 MDIY diskon 🙂 DNET diskon 🙂","9","2","0","0","","","saham","https://threads.net/@saham_diskon/post/DXQq9ElDdCJ"
"3498215568535647388","dojjunn","이사 dojjunn","2024-11-10 18:56:54","Mau sharing kenapa saat itu saya berani membeli saham """"SINI"""". thesisnya saya tiru dari salah satu investor terhebat di dunia yaitu  Peter lynch   """"Turn arounds thesis""""  (1/)","318","88","42","3","","","","https://threads.net/@dojjunn/post/DCMKIZ2TvSc"
"3802977074064586150","desainerux","Zaid","2026-01-05 06:43:36","Gak usah beli kelas saham berbayar!  Di sisasaldo.com gua baru aja bikin fitur AI yang bisa analisa saham harian dan ini bisa kamu jadiin bahan analisa tapi bukan ajakan beli atau jual.  Dan yang paling penting, GRATIS!","2057","225","370","4","","","","https://threads.net/@desainerux/post/DTG43_0kvWm"
"3877818401016653044","saham_diskon","Aji Pamungkas","2026-04-18 12:59:58","BLES mahal -12,14% PDPP mahal -50,62% PTSN mahal -12,26% WOOD mahal -34,10% NIKL diskon 🙂","3","0","0","0","","","saham","https://threads.net/@saham_diskon/post/DXQx0pIEiT0"
"3877308771287052854","ezpada_trader","Ezpada Trader","2026-04-17 20:07:25","Ini adalah contoh broksum yg admin suka dan cocok buat swing santai.. 🤩  • Tidak banyak yg bahas • Ada pihak yg rutin Akumulasi  • Kolom nett sell berbaris rapi broker ritel  • Ketika di cek di DPS ternyata broker yg akumulasi adalah broker pengendali • Pergerakan naiknya smooth  Kriteria saham seperti ini cocok buat Trader yg masih aktif bekerja.. 🔥🚀","40","16","4","1","","","","https://threads.net/@ezpada_trader/post/DXO98jdEjI2"
"3877025137695075886","susi.rahmawati","Susi Rahmawati","2026-04-17 10:43:53","Rata2 orang pagi ini beli di AVG 223, jadi buat beli aku beli harus dibawah mereka, aku antri di harga support yg lagi banyak orang antri juga di harga 210  Ehh kejemput juga , begitulah salah satu cara emak2 yg baru belajar saham menentukan masuk di harga brp nya, bener ga sih?   Yg sudah suhu di saham kasih masukan n kasih tips juga dong, biar ikutan pinter n emak2 dapat cuan , lumayan bisa buat jajanin diri sendiri","99","50","2","0","","","","https://threads.net/@susi.rahmawati/post/DXN9dJFky4u"
"3877089867642508120","eginanjar","Er Gin","2026-04-17 12:52:30","Mudah2an analisa aku salah dan kakaknya yg bener .. Tapi menurut analisa aku , sekarang saatnya TP, lagi cuci piring... Sekali lagi Mudah2an aku salah  Disclaimer ya kak, bisa baca2 utas aku, aku share edukasi screening saham utk pemula secara teknikal biar punya peta trading nggak asal masuk,","13","7","0","0","","","saham","https://threads.net/@eginanjar/post/DXOMLFjGRNY"
"3872959007917293277","_gumilarr","Gumilar","2026-04-11 20:05:13","Mau coba sharing ttg saham di thread pertamaku ini yaa. Kita mulai dengan saham ptro. Sepertinya pak pp mulai manggung lagi yaa setelah kabar baik dr FTSE kemarin. Jadi apakah era saham konglo udah berakhir? or is it just getting started? 😆","536","85","20","0","","","","https://threads.net/@_gumilarr/post/DW_g7Kojz7d"
"3877817747158007525","ihsg_screener","ihsgscreener","2026-04-18 12:58:40","Hari ini kita ada upgrade Screener,  Pastikan Pantau terus aku ini,  Upgrade pasti akan lebih killer dan lebih meningkatkan akurasi 🔥","1","0","0","0","","","saham","https://threads.net/@ihsg_screener/post/DXQxrILDv7l"
"3802603533393452163","priceaction.id","Price Action","2026-01-04 18:21:27","Ini adalah screener yang aku pake buat cari saham yang uptrend,liquid, market cap menengah keatas, fundamental bagus dan didukung aliran foreign flow.","380","53","53","3","","","saham","https://threads.net/@priceaction.id/post/DTFj8Q9j9yD"
